X,Y,objectid,shape_leng,shape_area,zone,locationid,borough
-74.1767785471836,40.6895151478039,1,0.11635745319,0.00078230679,Newark Airport,1,EWR
-73.826141187548,40.6257250653606,2,0.43346966679,0.00486634038,Jamaica Bay,2,Queens
-73.8494797117996,40.8658720486048,3,0.0843411059,0.00031441416,Allerton/Pelham Gardens,3,Bronx
-73.9770238531481,40.7241508237094,4,0.04356652709,0.00011187195,Alphabet City,4,Manhattan
-74.1899382186973,40.5503388087419,5,0.09214648986,0.00049795749,Arden Heights,5,Staten Island
-74.067784415989,40.5990540522727,6,0.15049054252,0.00060646098,Arrochar/Fort Wadsworth,6,Staten Island
-73.9214822351202,40.7610941908165,7,0.10741717112,0.00038978799,Astoria,7,Queens
-73.9231996351178,40.7786091900536,8,0.02759069116,2.658772E-05,Astoria Park,8,Queens
-73.788019387688,40.7543991714348,9,0.09978409247,0.0003384438,Auburndale,9,Queens
-73.9655685008179,40.8020326846964,24,0.04699996193,6.072357E-05,Bloomingdale,24,Manhattan
-73.7916548635917,40.678101884465,10,0.09983947942,0.00043582382,Baisley Park,10,Queens
-74.010614577798,40.6039781434647,11,0.07921103896,0.00026452054,Bath Beach,11,Brooklyn
-74.015489822631,40.7024875740507,12,0.03666130136,4.151162E-05,Battery Park,12,Manhattan
-74.016119676412,40.7116120409703,13,0.05028132286,0.00014935859,Battery Park City,13,Manhattan
-73.8869234351293,40.8687686529423,18,0.06979954986,0.00014885016,Bedford Park,18,Bronx
-73.9864596713285,40.6856156764957,25,0.04714581993,0.00012416827,Boerum Hill,25,Brooklyn
-74.0304481021718,40.6235833928849,14,0.17521369805,0.00138177826,Bay Ridge,14,Brooklyn
-73.7879935355271,40.7852453578963,15,0.14433622262,0.0009252194,Bay Terrace/Fort Totten,15,Queens
-73.9942964016157,40.6096262221388,22,0.1261702292,0.00047206268,Bensonhurst West,22,Brooklyn
-74.1593411184408,40.6074284613631,23,0.29055602896,0.00219556576,Bloomfield/Emerson Hill,23,Staten Island
-73.7716756284112,40.7612343254115,16,0.14129187377,0.00087188945,Bayside,16,Queens
-73.949180773692,40.6919912634499,17,0.09352263295,0.00032295765,Bedford,17,Brooklyn
-73.727896170924,40.7364716742206,19,0.10182487545,0.00054666109,Bellerose,19,Queens
-73.8860353385252,40.8577730959401,20,0.05144019244,0.00013451263,Belmont,20,Bronx
-73.9813014192894,40.6020489344532,21,0.11597356906,0.00038025135,Bensonhurst East,21,Brooklyn
-73.9895605620844,40.6286134091126,26,0.12354780707,0.00053403993,Borough Park,26,Brooklyn
-73.9097817318296,40.5589421136732,27,0.20250880852,0.00134088763,Breezy Point/Fort Tilden/Riis Beach,27,Queens
-73.8073148986691,40.7108516062057,28,0.09796078221,0.00029120393,Briarwood/Jamaica Hills,28,Queens
-73.9953288805328,40.6962386836944,33,0.0532702932,0.0001474168,Brooklyn Heights,33,Brooklyn
-73.9605803598493,40.5821933711719,29,0.07140831277,0.00020167384,Brighton Beach,29,Brooklyn
-73.8757213805039,40.8599258834332,31,0.09642456665,0.00033397593,Bronx Park,31,Bronx
-73.8646243306344,40.8644452005706,32,0.05426721601,0.00015087917,Bronxdale,32,Bronx
-73.8200979414619,40.6048766987842,30,0.09450976698,0.00014586211,Broad Channel,30,Queens
-73.9677011560345,40.7025605301963,34,0.06570593235,0.00017394615,Brooklyn Navy Yard,34,Brooklyn
-73.9124714112829,40.6637990606078,35,0.08578791859,0.0003238252,Brownsville,35,Brooklyn
-73.9682674724579,40.6771816746813,189,0.04867433065,0.00010142759,Prospect Heights,189,Brooklyn
-73.9161942746903,40.6988739907155,36,0.08705078671,0.00024766614,Bushwick North,36,Brooklyn
-73.9259408152051,40.696262872816,37,0.14281004047,0.00045206264,Bushwick South,37,Brooklyn
-73.7355503356822,40.6933168280704,38,0.08321756852,0.00032739268,Cambria Heights,38,Queens
